,system_calls,car_counts,body_counts,mariadb_counts,mysql_counts,postgres_counts,sysbench_counts
0,write,55452,6798,2874,6008,480,38904
1,wait4,4,4,97,79,80,1561
2,vfork,0,0,0,0,0,129
3,utimensat,0,0,0,0,0,478
4,unlinkat,0,0,0,0,0,146
5,unlink,0,0,474,276,30,406
6,uname,4,4,8,6,0,14
7,umask,0,0,20,22,0,270
8,times,0,0,4088,574918,0,0
9,tgkill,0,0,6,6,0,0
10,sysinfo,2,2,10,12,0,22
11,sync_file_range,0,0,0,0,28,154
12,symlinkat,0,0,0,2,0,0
13,symlink,0,0,0,0,0,78
14,switch,1283308,218607,24561,242984,1288,62573
15,statfs,0,0,0,38,0,348
16,stat,216,216,0,8366,0,0
17,socket,2,2,52,58,0,208
18,signalfd4,0,0,0,0,40,0
19,signaldeliver,8,8,27,17,80,182
20,sigaltstack,0,0,0,2,0,16
21,shutdown,0,0,0,14,0,0
22,setsockopt,0,0,50,36,0,14
23,setsid,0,0,0,2,40,4
24,setresuid,0,0,0,0,0,18
25,setresgid,0,0,0,0,0,18
26,setpriority,0,0,0,8,0,0
27,setpgid,4,4,0,0,0,20
28,setgroups,0,0,0,0,0,18
29,setgid,0,0,0,0,0,32
30,set_tid_address,2,2,34,32,0,492
31,set_robust_list,32,32,116,224,40,1102
32,sendto,2094,2008,35606,35492,0,18
33,sched_yield,54336572,18020730,280,244654,0,0
34,sched_setaffinity,0,0,0,4,0,0
35,sched_getaffinity,4,4,8,1142,0,8
36,rt_sigtimedwait,0,0,6,4,0,0
37,rt_sigreturn,1,1,27,17,80,171
38,rt_sigprocmask,136,136,734,400,280,866
39,rt_sigaction,224,224,544,604,440,3470
40,rseq,30,30,76,0,0,496
41,rmdir,0,0,0,0,0,1076
42,rename,0,0,88,52,22,888
43,recvmsg,0,0,36,0,0,24
44,recvfrom,600056,557730,88962,70872,0,6
45,readlink,8,8,344,10,0,20
46,read,9398,9002,11642,12458,1818,40834
47,pwrite,0,0,5040,13642,142,0
48,pselect6,14,48,4,0,88,4469
